1767204018022, contrarian-5h-b50-s99, test-00fj0z9omr1er, SOLD, 1767200433018, 5, 0.5, -1, 2.5, -2.5, TEST, 86039094806384234263502649203853504064779520408469738930862605926767306450765, BUY
1767204019498, contrarian-2h-b50-s74, expiry, EXPIRED, 1767204019498, 5, -1, -1, -1, 0, TEST, 86039094806384234263502649203853504064779520408469738930862605926767306450765, BUY
1767204019499, contrarian-2h-b50-s74, test-cvka17qvnrk, SOLD, 1767200411752, 5, 0.5, -1, 2.5, -2.5, TEST, 86039094806384234263502649203853504064779520408469738930862605926767306450765, BUY
1767204021476, contrarian-2h-b50-s99, expiry, EXPIRED, 1767204021476, 5, -1, -1, -1, 0, TEST, 86039094806384234263502649203853504064779520408469738930862605926767306450765, BUY
1767204021477, contrarian-2h-b50-s99, test-gdymr12vfie, SOLD, 1767200429454, 5, 0.5, -1, 2.5, -2.5, TEST, 86039094806384234263502649203853504064779520408469738930862605926767306450765, BUY
1767204022034, contrarian-3h-b50-s99, expiry, EXPIRED, 1767204022034, 5, -1, -1, -1, 0, TEST, 86039094806384234263502649203853504064779520408469738930862605926767306450765, BUY
1767204022035, contrarian-3h-b50-s99, test-2hek0ndioz3, SOLD, 1767200411476, 5, 0.5, -1, 2.5, -2.5, TEST, 86039094806384234263502649203853504064779520408469738930862605926767306450765, BUY
1767204024003, contrarian-1h-b50-s74, expiry, EXPIRED, 1767204024003, 5, -1, -1, -1, 0, TEST, 86039094806384234263502649203853504064779520408469738930862605926767306450765, BUY
1767204024004, contrarian-1h-b50-s74, test-my7a1bi2qva, SOLD, 1767200413300, 5, 0.5, -1, 2.5, -2.5, TEST, 86039094806384234263502649203853504064779520408469738930862605926767306450765, BUY
1767204032417, contrarian-5h-b50-s74, expiry, EXPIRED, 1767204032417, 5, -1, -1, -1, 0, TEST, 86039094806384234263502649203853504064779520408469738930862605926767306450765, BUY
1767204032418, contrarian-5h-b50-s74, test-xwqfzf9jr9b, SOLD, 1767200432646, 5, 0.5, -1, 2.5, -2.5, TEST, 86039094806384234263502649203853504064779520408469738930862605926767306450765, BUY
1767207602133, early-down-b40-s60, expiry, EXPIRED, 1767207602133, 5, -1, -1, -1, 0, TEST, 63960859633035781057502274033939709456817571114468219029890248225551445482133, BUY
1767207602134, early-down-b40-s60, test-f7jyidycq9, SOLD, 1767204005939, 5, 0.4, -1, 2, -2, TEST, 63960859633035781057502274033939709456817571114468219029890248225551445482133, BUY
1767207608324, contrarian-5h-b50-s99, undefined, EXPIRED, 1767207608324, 0, -1, -1, -1, 0, TEST, 34078638730046681499534391233809421054363576752075512726401782654112526168396, BUY
1767207608325, contrarian-5h-b50-s99, test-18chn9dv2no, SOLD, 1767204018977, 5, 0.5, -1, 2.5, -2.5, TEST, 34078638730046681499534391233809421054363576752075512726401782654112526168396, BUY
1767207608327, contrarian-5h-b50-s99, test-syvqtaxk0k, SOLD, 1767204052432, 5, -1, 0.99, 4.95, 4.95, TEST, 34078638730046681499534391233809421054363576752075512726401782654112526168396, SELL
1767207608363, contrarian-5h-b50-s74, undefined, EXPIRED, 1767207608363, 0, -1, -1, -1, 0, TEST, 34078638730046681499534391233809421054363576752075512726401782654112526168396, BUY
1767207608364, contrarian-5h-b50-s74, test-stf8umtl29q, SOLD, 1767204033327, 5, 0.5, -1, 2.5, -2.5, TEST, 34078638730046681499534391233809421054363576752075512726401782654112526168396, BUY
1767207608364, contrarian-5h-b50-s74, test-jg0i64lgjin, SOLD, 1767204064104, 5, -1, 0.74, 3.7, 3.7, TEST, 34078638730046681499534391233809421054363576752075512726401782654112526168396, SELL
1767207616486, contrarian-3h-b50-s74, undefined, EXPIRED, 1767207616486, 0, -1, -1, -1, 0, TEST, 34078638730046681499534391233809421054363576752075512726401782654112526168396, BUY
1767207616487, contrarian-3h-b50-s74, test-v4edl7o0fv, SOLD, 1767204004309, 5, 0.5, -1, 2.5, -2.5, TEST, 34078638730046681499534391233809421054363576752075512726401782654112526168396, BUY
1767207616488, contrarian-3h-b50-s74, test-dbiy9dfp70p, SOLD, 1767204070185, 5, -1, 0.74, 3.7, 3.7, TEST, 34078638730046681499534391233809421054363576752075512726401782654112526168396, SELL
1767207617993, contrarian-1h-b50-s99, undefined, EXPIRED, 1767207617993, 0, -1, -1, -1, 0, TEST, 34078638730046681499534391233809421054363576752075512726401782654112526168396, BUY
1767207617994, contrarian-1h-b50-s99, test-dh7hdbmvyg5, SOLD, 1767204012750, 5, 0.5, -1, 2.5, -2.5, TEST, 34078638730046681499534391233809421054363576752075512726401782654112526168396, BUY
1767207617996, contrarian-1h-b50-s99, test-au1d3qd5e2i, SOLD, 1767204044710, 5, -1, 0.99, 4.95, 4.95, TEST, 34078638730046681499534391233809421054363576752075512726401782654112526168396, SELL
1767207622614, contrarian-2h-b50-s99, undefined, EXPIRED, 1767207622614, 0, -1, -1, -1, 0, TEST, 34078638730046681499534391233809421054363576752075512726401782654112526168396, BUY
1767207622615, contrarian-2h-b50-s99, test-52t7jx7rabg, SOLD, 1767204021833, 5, 0.5, -1, 2.5, -2.5, TEST, 34078638730046681499534391233809421054363576752075512726401782654112526168396, BUY
1767207622615, contrarian-2h-b50-s99, test-6o7ly80mkb5, SOLD, 1767204052913, 5, -1, 0.99, 4.95, 4.95, TEST, 34078638730046681499534391233809421054363576752075512726401782654112526168396, SELL
1767207623004, contrarian-3h-b50-s99, undefined, EXPIRED, 1767207623004, 0, -1, -1, -1, 0, TEST, 34078638730046681499534391233809421054363576752075512726401782654112526168396, BUY
1767207623005, contrarian-3h-b50-s99, test-25434qggapq, SOLD, 1767204022571, 5, 0.5, -1, 2.5, -2.5, TEST, 34078638730046681499534391233809421054363576752075512726401782654112526168396, BUY
1767207623006, contrarian-3h-b50-s99, test-1u8o3f1lrc8, SOLD, 1767204055122, 5, -1, 0.99, 4.95, 4.95, TEST, 34078638730046681499534391233809421054363576752075512726401782654112526168396, SELL
1767207626546, contrarian-2h-b50-s74, undefined, EXPIRED, 1767207626546, 0, -1, -1, -1, 0, TEST, 34078638730046681499534391233809421054363576752075512726401782654112526168396, BUY
1767207626547, contrarian-2h-b50-s74, test-aaiuz9ycw, SOLD, 1767204019863, 5, 0.5, -1, 2.5, -2.5, TEST, 34078638730046681499534391233809421054363576752075512726401782654112526168396, BUY
1767207626548, contrarian-2h-b50-s74, test-seoo8z4eyba, SOLD, 1767204053461, 5, -1, 0.74, 3.7, 3.7, TEST, 34078638730046681499534391233809421054363576752075512726401782654112526168396, SELL
1767207626762, early-down-b20-s49, expiry, EXPIRED, 1767207626762, 10, -1, -1, -1, 0, TEST, 63960859633035781057502274033939709456817571114468219029890248225551445482133, BUY
1767207626763, early-down-b20-s49, test-4boxtbun3cm, SOLD, 1767204029509, 10, 0.2, -1, 2, -2, TEST, 63960859633035781057502274033939709456817571114468219029890248225551445482133, BUY
1767207634301, contrarian-1h-b50-s74, undefined, EXPIRED, 1767207634301, 0, -1, -1, -1, 0, TEST, 34078638730046681499534391233809421054363576752075512726401782654112526168396, BUY
1767207634302, contrarian-1h-b50-s74, test-0alsdvmelwav, SOLD, 1767204024175, 5, 0.5, -1, 2.5, -2.5, TEST, 34078638730046681499534391233809421054363576752075512726401782654112526168396, BUY
1767207634303, contrarian-1h-b50-s74, test-48ynk89qnsk, SOLD, 1767204059538, 5, -1, 0.74, 3.7, 3.7, TEST, 34078638730046681499534391233809421054363576752075512726401782654112526168396, SELL
1767211204473, early-down-b40-s60, expiry, EXPIRED, 1767211204473, 0, -1, -1, -1, 0, TEST, 70619277035808751519017246899310240629873125155171042938128346801251485167755, BUY
1767211204473, early-down-b40-s60, test-kf7fciyo3e, SOLD, 1767207602136, 5, 0.4, -1, 2, -2, TEST, 70619277035808751519017246899310240629873125155171042938128346801251485167755, BUY
1767211204474, early-down-b40-s60, test-rid6sndbj3h, SOLD, 1767207636017, 5, -1, 0.6, 3, 3, TEST, 70619277035808751519017246899310240629873125155171042938128346801251485167755, SELL
1767211212751, contrarian-1h-b50-s99, expiry, EXPIRED, 1767211212751, 0, -1, -1, -1, 0, TEST, 70619277035808751519017246899310240629873125155171042938128346801251485167755, BUY
1767211212752, contrarian-1h-b50-s99, test-iys082yea4d, SOLD, 1767207618171, 5, 0.5, -1, 2.5, -2.5, TEST, 70619277035808751519017246899310240629873125155171042938128346801251485167755, BUY
1767211212753, contrarian-1h-b50-s99, test-laioeq0g8r, SOLD, 1767207651913, 5, -1, 0.99, 4.95, 4.95, TEST, 70619277035808751519017246899310240629873125155171042938128346801251485167755, SELL
1767211231987, contrarian-1h-b50-s74, expiry, EXPIRED, 1767211231987, 0, -1, -1, -1, 0, TEST, 70619277035808751519017246899310240629873125155171042938128346801251485167755, BUY
1767211231988, contrarian-1h-b50-s74, test-5xwz0mya67m, SOLD, 1767207634470, 5, 0.5, -1, 2.5, -2.5, TEST, 70619277035808751519017246899310240629873125155171042938128346801251485167755, BUY
1767211231989, contrarian-1h-b50-s74, test-dlls6127dy5, SOLD, 1767207666352, 5, -1, 0.74, 3.7, 3.7, TEST, 70619277035808751519017246899310240629873125155171042938128346801251485167755, SELL
1767214804625, contrarian-1h-b50-s99, undefined, EXPIRED, 1767214804625, 5, -1, -1, -1, 5, TEST, 15597316550058724894375814292841802737556823974380111523472971557200055052412, BUY
1767214804626, contrarian-1h-b50-s99, test-7waua2gls7a, SOLD, 1767211212942, 5, 0.5, -1, 2.5, -2.5, TEST, 15597316550058724894375814292841802737556823974380111523472971557200055052412, BUY
1767214808922, early-up-b40-s60, expiry, EXPIRED, 1767214808922, 0, -1, -1, -1, 0, TEST, 36879434640895943092485241511240478849317009707994750208787459340925584786261, BUY
1767214808923, early-up-b40-s60, test-2rcftci2s2b, SOLD, 1767211204773, 5, 0.4, -1, 2, -2, TEST, 36879434640895943092485241511240478849317009707994750208787459340925584786261, BUY
1767214808924, early-up-b40-s60, test-2yrn9egn1ed, SOLD, 1767211635223, 5, -1, 0.6, 3, 3, TEST, 36879434640895943092485241511240478849317009707994750208787459340925584786261, SELL
1767214812899, contrarian-3h-b50-s99, undefined, EXPIRED, 1767214812899, 5, -1, -1, -1, 5, TEST, 15597316550058724894375814292841802737556823974380111523472971557200055052412, BUY
1767214812900, contrarian-3h-b50-s99, test-3ordwfsnmrx, SOLD, 1767211230261, 5, 0.5, -1, 2.5, -2.5, TEST, 15597316550058724894375814292841802737556823974380111523472971557200055052412, BUY
1767214816063, contrarian-2h-b50-s74, undefined, EXPIRED, 1767214816063, 0, -1, -1, -1, 0, TEST, 15597316550058724894375814292841802737556823974380111523472971557200055052412, BUY
1767214816064, contrarian-2h-b50-s74, test-9lo0hvsodf7, SOLD, 1767211223569, 5, 0.5, -1, 2.5, -2.5, TEST, 15597316550058724894375814292841802737556823974380111523472971557200055052412, BUY
1767214816065, contrarian-2h-b50-s74, test-56wsn0pohhu, SOLD, 1767211255251, 5, -1, 0.74, 3.7, 3.7, TEST, 15597316550058724894375814292841802737556823974380111523472971557200055052412, SELL
1767214822756, contrarian-1h-b50-s74, undefined, EXPIRED, 1767214822756, 0, -1, -1, -1, 0, TEST, 15597316550058724894375814292841802737556823974380111523472971557200055052412, BUY
1767214822757, contrarian-1h-b50-s74, test-jyf4cch53yl, SOLD, 1767211232179, 5, 0.5, -1, 2.5, -2.5, TEST, 15597316550058724894375814292841802737556823974380111523472971557200055052412, BUY
1767214822758, contrarian-1h-b50-s74, test-4q1korvuutm, SOLD, 1767211266713, 5, -1, 0.74, 3.7, 3.7, TEST, 15597316550058724894375814292841802737556823974380111523472971557200055052412, SELL
1767214825174, contrarian-2h-b50-s99, undefined, EXPIRED, 1767214825174, 5, -1, -1, -1, 5, TEST, 15597316550058724894375814292841802737556823974380111523472971557200055052412, BUY
1767214825175, contrarian-2h-b50-s99, test-7cvutpanalk, SOLD, 1767211205163, 5, 0.5, -1, 2.5, -2.5, TEST, 15597316550058724894375814292841802737556823974380111523472971557200055052412, BUY
1767214825674, contrarian-5h-b50-s99, expiry, EXPIRED, 1767214825674, 0, -1, -1, -1, 0, TEST, 36879434640895943092485241511240478849317009707994750208787459340925584786261, BUY
1767214825675, contrarian-5h-b50-s99, test-br3x5e1tdk5, SOLD, 1767211206088, 5, 0.5, -1, 2.5, -2.5, TEST, 36879434640895943092485241511240478849317009707994750208787459340925584786261, BUY
1767214825676, contrarian-5h-b50-s99, test-tz4shf7mmi, SOLD, 1767211270427, 5, -1, 0.99, 4.95, 4.95, TEST, 36879434640895943092485241511240478849317009707994750208787459340925584786261, SELL
1767214829696, contrarian-3h-b50-s74, undefined, EXPIRED, 1767214829696, 0, -1, -1, -1, 0, TEST, 15597316550058724894375814292841802737556823974380111523472971557200055052412, BUY
1767214829697, contrarian-3h-b50-s74, test-ut4597mm76j, SOLD, 1767211210027, 5, 0.5, -1, 2.5, -2.5, TEST, 15597316550058724894375814292841802737556823974380111523472971557200055052412, BUY
1767214829698, contrarian-3h-b50-s74, test-do1vybcmp0m, SOLD, 1767211240743, 5, -1, 0.74, 3.7, 3.7, TEST, 15597316550058724894375814292841802737556823974380111523472971557200055052412, SELL
1767214831460, contrarian-5h-b50-s74, expiry, EXPIRED, 1767214831460, 0, -1, -1, -1, 0, TEST, 36879434640895943092485241511240478849317009707994750208787459340925584786261, BUY
1767214831461, contrarian-5h-b50-s74, test-63hhn7pdjln, SOLD, 1767211229403, 5, 0.5, -1, 2.5, -2.5, TEST, 36879434640895943092485241511240478849317009707994750208787459340925584786261, BUY
1767214831462, contrarian-5h-b50-s74, test-h0xw70tchfo, SOLD, 1767211261229, 5, -1, 0.74, 3.7, 3.7, TEST, 36879434640895943092485241511240478849317009707994750208787459340925584786261, SELL
1767218412273, early-down-b40-s60, expiry, EXPIRED, 1767218412273, 5, -1, -1, -1, 0, TEST, 66283025267492478809263851069358621091590037202341904417015589994013132588349, BUY
1767218412274, early-down-b40-s60, test-q2off6j68m, SOLD, 1767214818731, 5, 0.4, -1, 2, -2, TEST, 66283025267492478809263851069358621091590037202341904417015589994013132588349, BUY
1767222000805, contrarian-2h-b50-s74, undefined, EXPIRED, 1767222000805, 0, -1, -1, -1, 0, TEST, 23870585114941572729747310519516026116371862689825437181141416392290776447156, BUY
1767222000806, contrarian-2h-b50-s74, test-ugvvosyaro, SOLD, 1767218421698, 5, 0.5, -1, 2.5, -2.5, TEST, 23870585114941572729747310519516026116371862689825437181141416392290776447156, BUY
1767222000806, contrarian-2h-b50-s74, test-01dlwrf4172q, SOLD, 1767218724055, 5, -1, 0.74, 3.7, 3.7, TEST, 23870585114941572729747310519516026116371862689825437181141416392290776447156, SELL
1767222004792, early-down-b40-s60, undefined, EXPIRED, 1767222004792, 0, -1, -1, -1, 0, TEST, 23870585114941572729747310519516026116371862689825437181141416392290776447156, BUY
1767222004793, early-down-b40-s60, test-dd5f1dvhf4, SOLD, 1767218412276, 5, 0.4, -1, 2, -2, TEST, 23870585114941572729747310519516026116371862689825437181141416392290776447156, BUY
1767222004794, early-down-b40-s60, test-n1e8v7eao8, SOLD, 1767219300633, 5, -1, 0.6, 3, 3, TEST, 23870585114941572729747310519516026116371862689825437181141416392290776447156, SELL
1767222005110, contrarian-3h-b50-s99, undefined, EXPIRED, 1767222005110, 0, -1, -1, -1, 0, TEST, 23870585114941572729747310519516026116371862689825437181141416392290776447156, BUY
1767222005111, contrarian-3h-b50-s99, test-2ku25kkrbft, SOLD, 1767218422660, 5, 0.5, -1, 2.5, -2.5, TEST, 23870585114941572729747310519516026116371862689825437181141416392290776447156, BUY
1767222005112, contrarian-3h-b50-s99, test-zjatq25qpcm, SOLD, 1767218713526, 5, -1, 0.99, 4.95, 4.95, TEST, 23870585114941572729747310519516026116371862689825437181141416392290776447156, SELL
1767222014551, contrarian-1h-b50-s99, undefined, EXPIRED, 1767222014551, 0, -1, -1, -1, 0, TEST, 23870585114941572729747310519516026116371862689825437181141416392290776447156, BUY
1767222014552, contrarian-1h-b50-s99, test-2lxaohlstv8, SOLD, 1767218406343, 5, 0.5, -1, 2.5, -2.5, TEST, 23870585114941572729747310519516026116371862689825437181141416392290776447156, BUY
1767222014553, contrarian-1h-b50-s99, test-hazklvqcmys, SOLD, 1767218725536, 5, -1, 0.99, 4.95, 4.95, TEST, 23870585114941572729747310519516026116371862689825437181141416392290776447156, SELL
1767222019675, contrarian-2h-b50-s99, undefined, EXPIRED, 1767222019675, 0, -1, -1, -1, 0, TEST, 23870585114941572729747310519516026116371862689825437181141416392290776447156, BUY
1767222019676, contrarian-2h-b50-s99, test-4a6wptei8lx, SOLD, 1767218411120, 5, 0.5, -1, 2.5, -2.5, TEST, 23870585114941572729747310519516026116371862689825437181141416392290776447156, BUY
1767222019677, contrarian-2h-b50-s99, test-p79majb2ol, SOLD, 1767218443111, 5, -1, 0.99, 4.95, 4.95, TEST, 23870585114941572729747310519516026116371862689825437181141416392290776447156, SELL
1767222022576, early-up-b40-s60, expiry, EXPIRED, 1767222022576, 0, -1, -1, -1, 0, TEST, 15289595960148156256585808919291531483840267971508022731585778198452692801635, BUY
1767222022577, early-up-b40-s60, test-sabkeb6032o, SOLD, 1767218413071, 5, 0.4, -1, 2, -2, TEST, 15289595960148156256585808919291531483840267971508022731585778198452692801635, BUY
1767222022578, early-up-b40-s60, test-wj5m3jwcbae, SOLD, 1767218513433, 5, -1, 0.6, 3, 3, TEST, 15289595960148156256585808919291531483840267971508022731585778198452692801635, SELL
1767222032621, contrarian-1h-b50-s74, undefined, EXPIRED, 1767222032621, 0, -1, -1, -1, 0, TEST, 23870585114941572729747310519516026116371862689825437181141416392290776447156, BUY
1767222032622, contrarian-1h-b50-s74, test-b51eqxegx7r, SOLD, 1767218431896, 5, 0.5, -1, 2.5, -2.5, TEST, 23870585114941572729747310519516026116371862689825437181141416392290776447156, BUY
1767222032623, contrarian-1h-b50-s74, test-xusis0tf25, SOLD, 1767218727640, 5, -1, 0.74, 3.7, 3.7, TEST, 23870585114941572729747310519516026116371862689825437181141416392290776447156, SELL
